SampleName	Tissue	SampleID
Tube_1	Ileon	il_989KOF
Tube_2	Ileon	il_991KOF
Tube_3	Ileon	il_992KOF
Tube_4	Ileon	il_993KOF
Tube_5	Ileon	il_111KOF
Tube_6	Ileon	il_682KOM
Tube_7	Ileon	il_684KOM
Tube_8	Ileon	il_745KOM
Tube_9	Ileon	il_912KOM
Tube_10	Ileon	il_913KOM
Tube_11	Ileon	il_156WTF
Tube_12	Ileon	il_157WTF
Tube_13	Ileon	il_158WTF
Tube_14	Ileon	il_181WTF
Tube_15	Ileon	il_182WTF
Tube_16	Ileon	il_178WTM
Tube_17	Ileon	il_235WTM
Tube_18	Ileon	il_252WTM
Tube_19	Ileon	il_322WTM
Tube_20	Ileon	il_385WTM
Tube_21	Kidney	kdy_989KOF
Tube_22	Kidney	kdy_991KOF
Tube_23	Kidney	kdy_992KOF
Tube_24	Kidney	kdy_993KOF
Tube_25	Kidney	kdy_111KOF
Tube_26	Kidney	kdy_682KOM
Tube_27	Kidney	kdy_684KOM
Tube_28	Kidney	kdy_745KOM
Tube_29	Kidney	kdy_912KOM
Tube_30	Kidney	kdy_913KOM
Tube_31	Kidney	kdy_156WTF
Tube_32	Kidney	kdy_157WTF
Tube_33	Kidney	kdy_158WTF
Tube_34	Kidney	kdy_181WTF
Tube_35	Kidney	kdy_182WTF
Tube_36	Kidney	kdy_178WTM
Tube_37	Kidney	kdy_235WTM
Tube_38	Kidney	kdy_252WTM
Tube_39	Kidney	kdy_322WTM
Tube_40	Kidney	kdy_385WTM
Tube_41	Muscle	mus_989KOF
Tube_42	Muscle	mus_991KOF
Tube_43	Muscle	mus_992KOF
Tube_44	Muscle	mus_993KOF
Tube_45	Muscle	mus_111KOF
Tube_46	Muscle	mus_682KOM
Tube_47	Muscle	mus_684KOM
Tube_48	Muscle	mus_745KOM
Tube_49	Muscle	mus_912KOM
Tube_50	Muscle	mus_913KOM
Tube_51	Muscle	mus_156WTF
Tube_52	Muscle	mus_157WTF
Tube_53	Muscle	mus_158WTF
Tube_54	Muscle	mus_181WTF
Tube_55	Muscle	mus_182WTF
Tube_56	Muscle	mus_178WTM
Tube_57	Muscle	mus_235WTM
Tube_58	Muscle	mus_252WTM
Tube_59	Muscle	mus_322WTM
Tube_60	Muscle	mus_385WTM
Tube_61	Liver	liv_989KOF
Tube_62	Liver	liv_991KOF
Tube_63	Liver	liv_992KOF
Tube_64	Liver	liv_993KOF
Tube_65	Liver	liv_111KOF
Tube_66	Liver	liv_682KOM
Tube_67	Liver	liv_684KOM
Tube_68	Liver	liv_745KOM
Tube_69	Liver	liv_912KOM
Tube_70	Liver	liv_913KOM
Tube_71	Liver	liv_156WTF
Tube_72	Liver	liv_157WTF
Tube_73	Liver	liv_158WTF
Tube_74	Liver	liv_181WTF
Tube_75	Liver	liv_182WTF
Tube_76	Liver	liv_178WTM
Tube_77	Liver	liv_235WTM
Tube_78	Liver	liv_252WTM
Tube_79	Liver	liv_322WTM
Tube_80	Liver	liv_385WTM
Tube_81	Colon	col_989KOF
Tube_82	Colon	col_991KOF
Tube_83	Colon	col_992KOF
Tube_84	Colon	col_993KOF
Tube_85	Colon	col_111KOF
Tube_86	Colon	col_682KOM
Tube_87	Colon	col_684KOM
Tube_88	Colon	col_745KOM
Tube_89	Colon	col_912KOM
Tube_90	Colon	col_913WTM
Tube_91	Colon	col_156WTF
Tube_92	Colon	col_157WTF
Tube_93	Colon	col_158WTF
Tube_94	Colon	col_181WTF
Tube_95	Colon	col_182WTF
Tube_96	Colon	col_178WTM
Tube_97	Colon	col_235WTM
Tube_98	Colon	col_252WTM
Tube_99	Colon	col_322WTM
Tube_100	Colon	col_385WTM
Tube_101	Heart	hr_991KOF
Tube_102	Heart	hr_993KOF
Tube_103	Heart	hr_153KOF
Tube_104	Heart	hr_183KOF
Tube_105	Heart	hr_682KOM
Tube_106	Heart	hr_912KOM
Tube_107	Heart	hr_141KOM
Tube_108	Heart	hr_142KOM
Tube_109	Heart	hr_158WTF
Tube_110	Heart	hr_182WTF
Tube_111	Heart	hr_247WTF
Tube_112	Heart	hr_252WTM
Tube_113	Heart	hr_322WTM
Tube_114	Heart	hr_385WTM
Tube_115	ileon	il_271KOF-M
Tube_116	ileon	il_272KOF-M
Tube_117	ileon	il_273KOF-M
Tube_118	ileon	il_260KOFNRM
Tube_119	ileon	il_261KOFNRM
Tube_120	ileon	il_262KOFNRM
